osm_way_id,street_name,road_type
356993848,Insulindeweg,residential
356998399,Bonistraat,residential
357001242,Sumatrastraat,residential
357001243,Riouwstraat,residential
357001244,Insulindeweg,residential
357003664,Sumatraplantsoen,residential
357003665,Sumatraplantsoen,residential
357003667,Soerabajastraat,residential
357005682,Celebesstraat,residential
357005683,Celebesstraat,residential
357538026,unknown,cycleway
357538027,Linnaeusstraat,cycleway
357538028,Linnaeusstraat,cycleway
357538029,Eerste Van Swindenstraat,residential
357538031,Eerste Van Swindenstraat,cycleway
375099847,Hof van Eden,residential
375099849,Tuin van Hera,residential
375099850,Polderweg,residential
375340265,Panamalaan,primary
375340269,Piet Heinkade,primary
375527991,Veemarkt,residential
376957763,unknown,tertiary
391010818,unknown,cycleway
394378534,unknown,cycleway
399512991,Touwbaanpark,cycleway
399512992,Compagniestraat,residential
403541605,Eerste Van Swindenstraat,cycleway
403541657,Javastraat,residential
405890309,unknown,cycleway
427612437,unknown,cycleway
427612449,unknown,cycleway
431477539,Hof van Eden,residential
431477592,unknown,cycleway
432380498,unknown,cycleway
439886615,unknown,cycleway
439886616,Blankenstraat,cycleway
439886617,Kraijenhoffstraat,residential
439886961,unknown,cycleway
458362021,Transvaalstraat,residential
458363455,Transvaalkade,residential
458363456,Transvaalkade,cycleway
463625745,Polderweg,residential
463625747,Polderweg,residential
463647714,Preangerstraat,residential
463647723,Borneostraat,residential
471829718,Tuin van Hera,residential
487222826,Jacob Bontiusplaats,residential
487222827,Oostenburgermiddenstraat,residential
489340984,Eldorado,residential
490783303,Hoogte Kadijk,residential
493461893,Mauritskade,cycleway
499086653,unknown,cycleway
499086654,Veelaan,tertiary
499086655,Veelaan,cycleway
499086656,unknown,cycleway
499086657,Veelaan,cycleway
499086658,Veelaan,tertiary
501057682,Zeeburgerpad,residential
501057683,Zeeburgerpad,residential
504684737,Zeeburgerdijk,cycleway
504684738,unknown,cycleway
504863122,Mauritskade,primary
504863124,unknown,cycleway
504863126,Mauritskade,primary
504863130,Wittenburgergracht,cycleway
505939427,unknown,cycleway
505939428,unknown,cycleway
508480420,Hoogte Kadijk,residential
508480421,Geschutswerf,residential
509666978,Zeeburgerdijk,cycleway
520306171,unknown,cycleway
539112355,Kramatweg,cycleway
547502340,Mauritskade,cycleway
547502344,Ooster Ringdijk,cycleway
553770152,unknown,cycleway
553770155,unknown,cycleway
553770173,unknown,cycleway
553770177,unknown,cycleway
553770180,Molukkenstraat,secondary
553770182,Molukkenstraat,secondary
553776524,Molukkenstraat,secondary
554108531,unknown,cycleway
558048872,unknown,cycleway
559026717,Kramatweg,residential
559787097,Kleine Wittenburgerstraat,residential
559792593,Tugelaweg,residential
559792594,Tugelaweg,residential
564797103,unknown,cycleway
571409076,Maria Skłodowska-Curiebrug,cycleway
571409077,unknown,cycleway
571409078,unknown,cycleway
571410214,unknown,cycleway
571410215,unknown,cycleway
580523115,Polderweg,residential
582944680,Polderweg,cycleway
582944682,Polderweg,residential
583257729,Mauritskade,cycleway
584445981,Molukkenstraat,secondary
586407889,unknown,cycleway
586407890,Wijttenbachstraat,cycleway
593435323,Oosterpark,cycleway
603900269,unknown,cycleway
610252176,Celebesstraat,residential
610252178,Oosterspoorplein,cycleway
610252180,Pontanusstraat,residential
610252181,Oetewalerpad,cycleway
610252182,Linnaeusstraat,cycleway
610252184,Linnaeusstraat,cycleway
610252191,Linnaeusstraat,cycleway
610252194,Mauritskade,cycleway
614449799,Insulindeweg,secondary
614449800,Molukkenstraat,secondary
614449801,Insulindeweg,secondary
630293396,Keerwal,residential
632657494,unknown,residential
654075602,Louise Wentstraat,residential
660841421,Bottelarijstraat,residential
670978249,Tuin van Hera,residential
670978251,Waldenlaan,residential
682307717,Von Zesenstraat,residential
682307718,Commelinstraat,residential
737950161,unknown,cycleway
737950162,unknown,cycleway
737950168,unknown,cycleway
737950176,unknown,cycleway
737950179,unknown,cycleway
738258604,Zeeburgerdijk,primary
738258605,Zeeburgerdijk,primary
738259341,Zeeburgerdijk,primary
738259342,Zeeburgerdijk,primary
742163309,Insulindeweg,cycleway
742259505,Borneolaan,residential
742505572,unknown,cycleway
743266445,Linnaeusstraat,secondary
744277560,Zeeburgerdijk,cycleway
744277561,Zeeburgerdijk,cycleway
744277562,Th. K. van Lohuizenlaan,cycleway
744277564,Zeeburgerpad,residential
744277565,unknown,cycleway
744277566,unknown,cycleway
749251053,unknown,cycleway
754529312,Carolina MacGillavrylaan,tertiary
754704156,Insulindeweg,secondary
754704157,Molukkenstraat,secondary
754704162,Molukkenstraat,secondary
755044086,Oosterspoorplein,cycleway
755044087,Oosterspoorplein,cycleway
757702878,Molukkenstraat,secondary
770426566,Molukkenstraat,tertiary
770426567,Molukkenstraat,tertiary
770426568,Javaplein,cycleway
770426569,Javaplein,cycleway
770426570,Molukkenstraat,cycleway
770426571,Molukkenstraat,cycleway
770426572,Javaplein,tertiary
770429435,Insulindeweg,secondary
770429440,Insulindeweg,secondary
770429441,Insulindeweg,secondary
770429444,Toministraat,residential
770429447,Celebesstraat,residential
770429448,Insulindeweg,residential
770430119,Insulindeweg,secondary
770430120,Riouwstraat,residential
770430121,Insulindeweg,secondary
770430122,Insulindeweg,secondary
770433017,unknown,cycleway
770434439,unknown,secondary
770434440,Zuiderzeeweg,secondary
770436181,Insulindeweg,residential
770444287,Linnaeusstraat,cycleway
770460798,Linnaeusstraat,secondary
770468927,Linnaeusstraat,secondary
770473083,Polderweg,cycleway
770473086,Pretoriusstraat,cycleway
770482206,Middenweg,secondary
770493665,Linnaeuskade,residential
770493666,Middenweg,secondary
773868808,Mauritskade,primary
773868809,Mauritskade,primary
773868812,Mauritskade,primary
773868813,Mauritskade,primary
773868814,unknown,primary
773868816,unknown,primary
773868817,unknown,primary
773868818,unknown,primary
773868819,unknown,primary
773869640,Alexanderplein,tertiary
773869641,Alexanderplein,tertiary
773869643,Alexanderplein,tertiary
773872197,Linnaeusstraat,secondary
773872198,Linnaeusstraat,secondary
789208345,Zeeburgerkade,cycleway
789208347,Th. K. van Lohuizenlaan,cycleway
819816301,Oostenburgergracht,cycleway
836187023,Kleine Wittenburgerstraat,residential
846636109,Carolina MacGillavrylaan,tertiary
854913629,Hoogte Kadijk,residential
854913630,Hoogte Kadijk,residential
865965002,Molukkenstraat,cycleway
865965003,Molukkenstraat,cycleway
865965004,Molukkenstraat,cycleway
868161916,Galileïplantsoen,residential
868635779,Kleine Wittenburgerstraat,residential
874772120,Zeeburgerdijk,cycleway
874772123,Zeeburgerdijk,tertiary
884334996,Entrepotdok,residential
885021976,Pontanusstraat,residential
885021977,Zeeburgerstraat,tertiary
885271705,unknown,cycleway
885271706,unknown,cycleway
891087599,unknown,cycleway
891087601,Czaar Peterstraat,residential
891092619,Entrepotdok,cycleway
895347489,Valentijnkade,residential
917156647,Polderweg,residential
